ADDRESS,BANK,COORD_X,COORD_Y,WITHIN500,WITHIN1000,FREGUESIA,ATM_ID,MWay_Dist,Police_Dis,PARISH,NUMBER,N_INCOME,INCOME,N_DENSITY,DENSITY,N_AGE,AGE,N_UNP_RATE,UNP_RATE,N_COM_DENS,COM_DENS,N_FREQ_ATTACK,FREQ_ATTACK,N_MANUAL_ATK,MANUAL_ATK,N_LOGIC_ATK,LOGIC_ATK,N_FRAUD_ATTACK,FRAUD_ATTACK,N_CARD_SKIMMING,CARD_SKIMMING,N_CARD_TRAPPING,CARD_TRAPPING,N_CASH_TRAPPING,CASH_TRAPPING,N_TRANS_REVER,TRANS_REVER,N_PHYS_ATTACK,PHYS_ATTACK,N_BURGLARY,BURGLARY,N_RAM_RAIDS,RAM_RAIDS,N_EXPLO_GAS,EXPLO_GAS,N_VANDALISM,VANDALISM,N_LOG_NETWORK,LOG_NETWORK,N_LOG_ISOLATED,LOG_ISOLATED,EVENT_DATE,DETEC_DATE,ACCOUNT_DATE,YEAR_ACOUNT,N_IMPLEM_TYPE,GROSS_LOSS,INDIRECT_LOSS,NET_LOSS,N_ATTACK_L0,N_ATTACK_L1,N_ATTACK_L2,PERSONA1,PERSONA2,ATTACK_DURATION,SUCCESS_ATTACK,RECOVERED,RECOV_AMOUNT,RECOV_DATE
"Rua Tomas Da Fonseca TR a, Lisbon",BANCO BPI S.A.,-9.17093,38.7561,0,1000,Lumiar,BPI17,195.35,898.57,7,0,5,52,2,8.06,2,39,1,4,2,9,1,4,1,3,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15-Jun-2015 19:00,21-Jun-2015 14:00,30-Jun-2015 00:00,2015,3,25,0,25,1,0101,010103,4,,1,1,0,0,
"Rua Tomas Da Fonseca TR a, Lisbon",BANCO BPI S.A.,-9.17093,38.7561,0,1000,Lumiar,BPI17,195.35,898.57,7,0,5,52,2,8.06,2,39,1,4,2,9,1,4,1,3,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11-Sep-2015 22:00,01-Sep-2015 10:30,30-Sep-2015 00:00,2015,3,850,0,850,1,0101,010102,4,,0.41,1,0,0,
"Rua Tomas Da Fonseca TR a, Lisbon",BANCO BPI S.A.,-9.17093,38.7561,0,1000,Lumiar,BPI17,195.35,898.57,7,0,5,52,2,8.06,2,39,1,4,2,9,1,4,1,3,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12-Dec-2014 10:00,12-Dec-2014 16:00,30-Dec-2014 12:00,2014,3,3000,0,3000,1,0101,010101,4,,1,1,0,0,
"Rua Tomas Da Fonseca TR a, Lisbon",BANCO BPI S.A.,-9.17093,38.7561,0,1000,Lumiar,BPI17,195.35,898.57,7,0,5,52,2,8.06,2,39,1,4,2,9,1,4,1,3,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12-Feb-2015 10:00,12-Feb-2015 10:00,31-Mar-2015 00:00,2014,5,0,0,0,2,0201,020101,2,,30,0,0,0,
"Estrada De Telheiras, Lisbon",BANCO COMERCIAL PORTUGUES,-9.15911,38.7602,0,1000,Lumiar,CP01,190.83,568.68,7,0,5,56,1,0.00,2,35,1,2,2,9,1,3,1,3,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04-Jun-2011 21:30,06-Jun-2011 16:00,30-Jun-2011 00:00,2011,3,70,0,70,1,0101,010103,4,,0.41,1,0,0,
"Estrada De Telheiras, Lisbon",BANCO COMERCIAL PORTUGUES,-9.15911,38.7602,0,1000,Lumiar,CP01,190.83,568.68,7,0,5,56,1,0.00,2,35,1,2,2,9,1,3,1,3,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19-Jan-2010 16:30,23-Jan-2010 16:30,28-Feb-2010 12:00,2010,3,6890,0,6890,1,0101,010101,2,,4,1,0,0,
"Estrada De Telheiras, Lisbon",BANCO COMERCIAL PORTUGUES,-9.15911,38.7602,0,1000,Lumiar,CP01,190.83,568.68,7,0,5,56,1,0.00,2,35,1,2,2,9,1,3,1,3,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09-Jun-2014 12:00,29-Jun-2014 19:30,30-Jul-2014 12:00,2014,1,8250,0,8250,1,0101,010101,2,,2,1,0,0,
"Rua Abranches Ferrao 8C, Lisbon",BANCO COMERCIAL PORTUGUES,-9.17203,38.75064,0,0,Carnide,CP52,766.67,1432.30,11,1,5,52,1,4.63,2,34,2,9,2,18,1,3,1,3,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05-Jan-2010 15:00,30-Jan-2010 18:00,28-Feb-2010 12:00,2014,4,5000,0,5000,1,0101,010101,2,,16,1,0,0,
"Rua Abranches Ferrao 8C, Lisbon",BANCO COMERCIAL PORTUGUES,-9.17203,38.75064,0,0,Carnide,CP52,766.67,1432.30,11,1,5,52,1,4.63,2,34,2,9,2,18,1,3,1,3,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03-May-2012 15:00,12-May-2012 10:00,30-May-2012 12:00,2012,3,12100,0,12100,1,0101,010101,2,,6,1,0,0,
"Rua Abranches Ferrao 8C, Lisbon",BANCO COMERCIAL PORTUGUES,-9.17203,38.75064,0,0,Carnide,CP52,766.67,1432.30,11,1,5,52,1,4.63,2,34,2,9,2,18,1,3,1,3,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05-May-2012 11:00,10-May-2012 10:45,30-May-2012 00:00,2014,1,170,0,170,1,0101,010103,4,,3,1,0,0,
"Avenida Dom Vasco Da Gama 50 a, Lisbon",BANCO SANTANDER TOTTA,-9.22544,38.69942,0,0,Belrm,ST98,192.28,1143.74,2,2,3,36,2,11.58,4,50,4,15,2,9,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,0,17-Oct-2012 03:20,17-Oct-2012 03:27,30-Oct-2012 00:00,2012,1,50000,65000,65000,1,0102,010203,2,,0.08,0,1,50000,12-Mar-2013 00:00
"Avenida Dom Vasco Da Gama 50 a, Lisbon",BANCO SANTANDER TOTTA,-9.22544,38.69942,0,0,Belrm,ST98,192.28,1143.74,2,2,3,36,2,11.58,4,50,4,15,2,9,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,0,29-Nov-2010 02:00,29-Nov-2010 02:30,15-Dec-2010 00:00,2014,4,41000,0,0,1,0102,010203,2,,0.05,1,1,41000,15-Apr-2011 00:00
"Avenida Dom Vasco Da Gama 50 a, Lisbon",BANCO SANTANDER TOTTA,-9.22544,38.69942,0,0,Belrm,ST98,192.28,1143.74,2,2,3,36,2,11.58,4,50,4,15,2,9,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,0,22-Feb-2015 02:00,22-Feb-2015 03:00,30-Mar-2015 00:00,2015,3,18500,30000,33500,1,0102,010203,4,,0.03,1,1,15000,12-Jun-2015 00:00
"Rua Abranches Ferrao 17-B, Lisbon",BARCLAYS BANK,-9.1707,38.75117,0,0,Lumiar,BB07,719.80,1371.94,11,1,6,58,3,20.09,1,29,2,8,2,18,1,2,1,2,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-Oct-2015 21:30,25-Oct-2015 12:40,31-Oct-2015 00:00,2015,3,80,0,80,1,0101,010103,4,,0.41,1,0,0,
"Rua Abranches Ferrao 17-B, Lisbon",BARCLAYS BANK,-9.1707,38.75117,0,0,Lumiar,BB07,719.80,1371.94,11,1,6,58,3,20.09,1,29,2,8,2,18,1,2,1,2,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29-Jun-2015 15:15,29-Jun-2015 17:30,30-Jul-2015 12:00,2015,1,5640,500,6140,1,0101,010101,4,,2,1,0,0,
"Estrada Da Luz 106 D, Lisbon",BARCLAYS BANK,-9.17363,38.75224,0,0,Carnide,BB12,601.60,1245.62,11,1,4,40,4,33.16,1,28,3,12,2,9,1,2,1,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16-Apr-2011 11:00,16-Apr-2011 16:00,30-Apr-2011 12:00,2014,3,5320,0,5320,1,0101,010101,4,,10,1,0,0,
"Estrada Da Luz 106 D, Lisbon",BARCLAYS BANK,-9.17363,38.75224,0,0,Carnide,BB12,601.60,1245.62,11,1,4,40,4,33.16,1,28,3,12,2,9,1,2,1,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02-Dec-2011 09:00,10-Dec-2011 13:00,30-Dec-2011 12:00,2011,4,14000,0,14000,1,0101,010101,2,,8,1,0,0,
"Rua Tomas Da Fonseca TR G, Lisbon",BANCO BPI S.A.,-9.16948,38.75579,0,1000,Lumiar,BPI85,307.26,861.07,7,1,5,52,2,8.06,3,42,2,6,2,9,1,2,1,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27-Jul-2010 14:00,08-Aug-2010 16:00,30-Sep-2010 12:00,2010,3,8300,0,8300,1,0101,010101,2,,10,1,0,0,
"Rua Tomas Da Fonseca TR G, Lisbon",BANCO BPI S.A.,-9.16948,38.75579,0,1000,Lumiar,BPI85,307.26,861.07,7,1,5,52,2,8.06,3,42,2,6,2,9,1,2,1,2,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05-Jan-2015 05:00,06-Jan-2015 07:00,31-Jan-2015 12:00,2015,3,8590,0,8590,1,0101,010101,2,,24,1,0,0,
"Rua Tomas Da Fonseca TR C, Lisbon",BANCO BPI S.A.,-9.17039,38.75606,0,1000,Lumiar,BPI89,228.67,875.52,7,1,5,52,2,8.06,3,42,2,6,2,9,1,2,1,2,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-Oct-2015 09:00,30-Oct-2015 09:15,31-Oct-2015 00:00,2015,1,950,0,950,1,0101,010102,2,,0.16,1,0,0,
"Rua Tomas Da Fonseca TR C, Lisbon",BANCO BPI S.A.,-9.17039,38.75606,0,1000,Lumiar,BPI89,228.67,875.52,7,1,5,52,2,8.06,3,42,2,6,2,9,1,2,1,2,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-Oct-2011 16:30,06-Nov-2011 10:00,30-Nov-2011 12:00,2011,1,7400,0,7400,1,0101,010101,2,,10,1,0,0,
"Rua Tomas Da Fonseca 4 D, Lisbon",BANCO BPI S.A.,-9.176,38.75579,0,0,Carnide,BPI95,382.42,1000.02,11,1,5,50,3,16.78,1,26,2,7,2,9,1,2,1,2,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04-Jul-2012 14:45,11-Aug-2012 10:00,30-Aug-2012 12:00,2012,4,4800,0,4800,1,0101,010101,4,,6,1,0,0,
"Rua Tomas Da Fonseca 4 D, Lisbon",BANCO BPI S.A.,-9.176,38.75579,0,0,Carnide,BPI95,382.42,1000.02,11,1,5,50,3,16.78,1,26,2,7,2,9,1,2,1,2,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-Jun-2012 23:30,07-Jun-2012 12:00,30-Jun-2012 00:00,2012,3,1000,0,1000,1,0101,010102,4,,0.41,1,0,0,
"Estrada Laranjeiras 233, Lisbon",CAIXA GERAL DE DEPOSITOS,-9.16982,38.74623,0,1000,Campolide,CGD02,479.89,1367.56,11,1,6,60,1,0.12,1,27,2,8,2,9,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,06-Nov-2014 02:50,06-Nov-2014 05:00,01-Dec-2014 00:00,2014,4,12000,0,0,1,0102,010203,4,,0.18,0,1,12000,30-Mar-2015 00:00
