N_RAM_RAIDS,RAM_RAIDS,CASH_TRAPPING,VANDALISM,FRAUD_ATTACK,FREGUESIA,MANUAL_ATK,NUMBER,N_CARD_TRAPPING,BURGLARY,N_CASH_TRAPPING,PERSONA2,EVENT_DATE,UNP_RATE,CARD_TRAPPING,N_LOG_ISOLATED,PHYS_ATTACK,N_PHYS_ATTACK,RECOVERED,N_UNP_RATE,GROSS_LOSS,COORD_Y,COORD_X,FREQ_ATTACK,N_LOGIC_ATK,RECOV_AMOUNT,N_FRAUD_ATTACK,N_TRANS_REVER,LOGIC_ATK,N_ATTACK_L1,DETEC_DATE,MWay_Dist,CARD_SKIMMING,PROB_ATTACKED,TRANS_REVER,EXPLO_GAS,LOG_ISOLATED,YEAR_ACOUNT,AGE,ACCOUNT_DATE,N_DENSITY,N_BURGLARY,PERSONA1,N_ATTACK_L2,N_CARD_SKIMMING,DENSITY,WITHIN1000,N_COM_DENS,INCOME,COM_DENS,INDIRECT_LOSS,LOG_NETWORK,ATM_ID,N_AGE,N_MANUAL_ATK,N_INCOME,BANK,N_EXPLO_GAS,N_ATTACK_L0,N_VANDALISM,PARISH,WITHIN500,N_FREQ_ATTACK,N_IMPLEM_TYPE,NET_LOSS,RECOV_DATE,Police_Dis,ADDRESS,ATTACK_DURATION,SUCCESS_ATTACK,N_LOG_NETWORK
0,0,0,0,0,Campolide,0,2,0,0,0,,,16,0,0,0,0,,4,,38.7344,-9.15829,0,0,,0,0,0,,,1158.60,0,5.611707445645196e-314,0,0,0,,49,,1,0,,,0,2.14,1000,2,36,18,,0,BPI06,4,0,3,BANCO BPI S.A.,0,,0,15,500,0,,,,153.59,"Rua Fialho De Almeida 21D, Lisbon",,,0
0,0,0,0,0,Estrela,0,2,0,0,0,,,16,0,0,0,0,,4,,38.71125,-9.15843,0,0,,0,0,0,,,1703.23,0,0.0,0,0,0,,45,,2,0,,,0,12.17,1000,2,40,18,,0,BPI07,3,0,4,BANCO BPI S.A.,0,,0,16,500,0,,,,179.20,"Rua Borges Carneiro 19 a, Lisbon",,,0
0,0,1,0,1,Lumiar,1,0,0,0,1,,26-Nov-2012 18:00,5,0,0,0,0,0,2,150,38.76319,-9.14026,1,0,0,1,0,0,0101,30-Nov-2012 10:00,640.77,0,1.0,0,0,0,2012,35,31-Dec-2012 00:00,1,0,4,010103,0,0.16,0,2,50,9,0,0,BPI04,2,1,5,BANCO BPI S.A.,0,1,0,7,0,1,4,150,,932.50,"Avenida Marechal Craveiro Lopes, Lisbon",2,1,0
0,0,0,0,0,Lumiar,0,0,0,0,0,,,5,0,0,0,0,,2,,38.77391,-9.14736,0,0,,0,0,0,,,1323.48,0,1.1285421655033948e-118,0,0,0,,35,,1,0,,,0,0.16,1000,2,50,9,,0,BPI05,2,0,5,BANCO BPI S.A.,0,,0,7,0,0,,,,667.97,"Azinhaga Da Musgueira, Lisbon",,,0
0,0,0,0,0,Arroios,0,1,0,0,0,,,7,0,0,0,0,,2,,38.73117,-9.13546,0,0,,0,0,0,,,2943.82,0,0.0,0,0,0,,45,,4,0,,,0,27.08,1000,4,60,37,,0,BPI02,3,0,6,BANCO BPI S.A.,0,,0,22,500,0,,,,102.96,"Rua Pascoal De Melo 7 a, Lisbon",,,0
0,0,1,0,1,Avenidas Novas,1,1,0,0,1,,14-Feb-2011 10:30,13,0,0,0,0,0,3,15,38.74672,-9.17,1,0,0,1,0,0,0101,17-Feb-2011 12:00,521.55,0,1.0,0,0,0,2014,34,28-Feb-2011 00:00,1,0,4,010103,0,5.92,1000,2,44,9,0,0,BPI03,2,1,4,BANCO BPI S.A.,0,1,0,11,0,1,1,15,,1417.10,"Estrada Da Luz LT 6, Lisbon",0.41,1,0
0,0,0,0,0,Santa Maria Maior,0,2,0,0,0,,,15,0,0,0,0,,4,,38.71558,-9.12918,0,0,,0,0,0,,,3900.69,0,0.0,0,0,0,,61,,1,0,,,0,4.00,1000,2,30,9,,0,MG24,5,0,2,MONTEPIO GERAL,0,,0,14,0,0,,,,463.67,"Rua Voz Do Operario 13, Lisbon",,,0
0,0,0,0,0,Arroios,0,1,0,0,0,,,12,0,0,0,0,,3,,38.7337,-9.13548,0,0,,0,0,0,,,2815.61,0,0.0,0,0,0,,47,,4,0,,,0,28.55,1000,4,42,37,,0,BPI01,3,0,4,BANCO BPI S.A.,0,,0,22,500,0,,,,227.43,"Rua Alves Torgo 53, Lisbon",,,0
0,0,0,0,0,Alcgntara,0,1,0,0,0,,,13,0,0,0,0,,3,,38.69976,-9.18196,0,0,,0,0,0,,,1087.27,0,2.1031765229087868e-63,0,0,0,,27,,1,0,,,0,2.41,1000,2,50,9,,0,MG28,1,0,5,MONTEPIO GERAL,0,,0,10,0,0,,,,617.98,"Rua Manuel Maria Viana, Lisbon",,,0
0,0,0,0,0,Alvalade,0,0,0,0,0,,,7,0,0,0,0,,2,,38.75493,-9.14122,0,0,,0,0,0,,,953.66,0,1.0,0,0,0,,35,,2,0,,,0,14.11,1000,4,60,37,,0,MG29,2,0,6,MONTEPIO GERAL,0,,0,7,0,0,,,,757.02,"Rua Jose Duro 25 C, Lisbon",,,0
0,0,0,0,0,Bel2m,0,2,0,0,0,,,17,0,0,0,0,,4,,38.70333,-9.20268,0,0,,0,0,0,,,1783.29,0,2.9331124424496344e-273,0,0,0,,35,,3,0,,,0,22.79,1000,2,30,18,,0,MG20,2,0,2,MONTEPIO GERAL,0,,0,6,500,0,,,,666.64,"Calcada Galvao 121, Lisbon",,,0
0,0,0,0,0,Parque das Na,0,1,0,0,0,,,8,0,0,0,0,,2,,38.76605,-9.09822,0,0,,0,0,0,,,2293.13,0,2.4525551163563935e-291,0,0,0,,36,,1,0,,,0,0.13,1000,5,50,47,,0,BPI08,2,0,5,BANCO BPI S.A.,0,,0,13,500,0,,,,981.19,"Avenida Dom Joao Ii LT 1.05.02, Lisbon",,,0
0,0,0,0,1,Avenidas Novas,1,1,0,0,0,,30-Oct-2011 19:00,13,0,0,0,0,0,3,5200,38.74672,-9.17,1,0,0,1,0,0,0101,08-Dec-2011 10:00,521.55,1,1.0,0,0,0,2014,34,30-Dec-2011 12:00,1,0,2,010101,1,5.92,1000,2,44,9,0,0,BPI09,2,1,4,BANCO BPI S.A.,0,1,0,11,0,1,3,5200,,1417.10,"Estrada Da Luz LT 6, Lisbon",2,1,0
0,0,0,0,0,Santa Maria Maior,0,2,0,0,0,,,16,0,0,0,0,,4,,38.71177,-9.13801,0,0,,0,0,0,,,3281.18,0,0.0,0,0,0,,62,,2,0,,,0,9.65,1000,5,36,84,,0,MG21,5,0,3,MONTEPIO GERAL,0,,0,17,500,0,,,,353.58,"Rua Augusta 206-214, Lisbon",,,0
0,0,0,0,0,Santo AntMnio,0,0,0,0,0,,,6,0,0,0,0,,2,,38.72042,-9.14969,0,0,,0,0,0,,,2052.94,0,0.0,0,0,0,,53,,1,0,,,0,3.85,1000,2,50,9,,0,MG26,4,0,5,MONTEPIO GERAL,0,,0,18,500,0,,,,457.62,"Rua Castilho 5, Lisbon",,,0
0,0,0,0,0,Carnide,0,1,0,0,0,,,10,0,0,0,0,,3,,38.74726,-9.18078,0,0,,0,0,0,,,803.87,0,1.0,0,0,0,,29,,3,0,,,0,23.91,0,2,46,9,,0,CGD83,1,0,4,CAIXA GERAL DE DEPOSITOS,0,,0,11,0,0,,,,1050.24,"Rua Major Neutel De Abreu Lote 14, Lisbon",,,0
0,0,0,0,0,Bel2m,0,2,0,0,0,,,16,0,0,0,0,,4,,38.70055,-9.20009,0,0,,0,0,0,,,2091.52,0,0.0,0,0,0,,41,,1,0,,,0,0.22,1000,2,36,9,,0,CGD82,3,0,3,CAIXA GERAL DE DEPOSITOS,0,,0,6,500,0,,,,378.40,"Calcada Ajuda 23, Lisbon",,,0
0,0,0,0,0,Parque das Na,0,1,0,0,0,,,5,0,0,0,0,,2,,38.76925,-9.09583,0,0,,0,0,0,,,2069.44,0,0.0,0,0,0,,54,,1,0,,,0,0.00,1000,4,64,37,,0,CGD81,4,0,6,CAIXA GERAL DE DEPOSITOS,0,,0,1,500,0,,,,608.97,"Alameda Oceanos, Lisbon",,,0
0,0,0,0,0,Areeiro,0,1,0,0,0,,,13,0,0,0,0,,3,,38.73642,-9.12764,0,0,,0,0,0,,,2965.57,0,0.0,0,0,0,,55,,3,0,,,0,25.47,1000,2,34,9,,0,CGD80,4,0,3,CAIXA GERAL DE DEPOSITOS,0,,0,12,500,0,,,,352.64,"Rua Coronel Ferreira Do Amaral, Lisbon",,,0
0,0,0,0,0,Lumiar,0,1,0,0,0,,,10,0,0,0,0,,3,,38.76806,-9.16497,0,0,,0,0,0,,,1154.02,0,6.2521615102959924e-94,0,0,0,,33,,2,0,,,0,7.74,1000,2,48,9,,0,CGD87,2,0,5,CAIXA GERAL DE DEPOSITOS,0,,0,5,500,0,,,,600.82,"Avenida Padre Cruz, Lisbon",,,0
0,0,0,0,0,Marvila,0,0,0,0,0,,,2,0,0,0,0,,1,,38.75845,-9.09674,0,0,,0,0,0,,,2691.20,0,1.5247845705526499e-106,0,0,0,,36,,2,0,,,0,11.59,1000,2,66,9,,0,CGD86,2,0,6,CAIXA GERAL DE DEPOSITOS,0,,0,13,0,0,,,,1634.15,"Alameda Dos Oceanos 1.08.01.J, Lisbon",,,0
