N_CARD_SKIMMING,SUCCESS_ATTACK,N_INCOME,COORD_X,RECOV_AMOUNT,N_DENSITY,ATM_ID,PROB_ATTACKED,BURGLARY,VANDALISM,UNP_RATE,N_FREQ_ATTACK,N_MANUAL_ATK,RECOVERED,N_FRAUD_ATTACK,N_ATTACK_L2,N_AGE,FREGUESIA,MANUAL_ATK,INCOME,PARISH,TRANS_REVER,N_LOG_ISOLATED,N_PHYS_ATTACK,CARD_SKIMMING,N_CASH_TRAPPING,INDIRECT_LOSS,ATTACK_DURATION,COORD_Y,CARD_TRAPPING,N_CARD_TRAPPING,ACCOUNT_DATE,PERSONA1,FREQ_ATTACK,LOG_ISOLATED,CASH_TRAPPING,LOGIC_ATK,PERSONA2,DETEC_DATE,WITHIN500,N_TRANS_REVER,EXPLO_GAS,RECOV_DATE,Police_Dis,N_LOG_NETWORK,N_VANDALISM,ADDRESS,NET_LOSS,NUMBER,RAM_RAIDS,COM_DENS,EVENT_DATE,PHYS_ATTACK,N_ATTACK_L0,N_IMPLEM_TYPE,AGE,GROSS_LOSS,N_COM_DENS,N_UNP_RATE,DENSITY,N_BURGLARY,WITHIN1000,MWay_Dist,N_ATTACK_L1,LOG_NETWORK,N_EXPLO_GAS,YEAR_ACOUNT,N_LOGIC_ATK,BANK,FRAUD_ATTACK,N_RAM_RAIDS
0,,5,-9.15852,,2,CCCAM10,2.383892545e-254,0,0,12,0,0,,0,,4,Santo Antdnio,0,48,15,0,0,0,0,0,,,38.72455,0,0,,,0,0,0,0,,,500,0,0,,357.18,0,0,"Avenida Engenheiro Duarte Pacheco 15, Lisbon",,1,0,28,,0,,,54,,4,3,8.80,0,1000,1290.69,,0,0,,0,CAIXA CENTRAL DE CREDITO AGRICOLA MUTUO,0,0
0,,6,-9.09768,,1,CP33,0.0,0,0,3,0,0,,0,,3,Parque das Na,0,64,13,0,0,0,0,0,,,38.77217,0,0,,,0,0,0,0,,,500,0,0,,315.66,0,0,"Avenida Dom Joao Ii Loja 63, Lisbon",,0,0,9,,0,,,44,,2,1,0.00,0,1000,1707.58,,0,0,,0,BANCO COMERCIAL PORTUGUES,0,0
0,,4,-9.14094,,1,MG31,0.0,0,0,16,0,0,,0,,5,Santa Maria Maior,0,44,17,0,0,0,0,0,,,38.71083,0,0,,,0,0,0,0,,,500,0,0,,131.64,0,0,"Rua Garrett 62, Lisbon",,2,0,75,,0,,,59,,5,4,4.98,0,1000,3087.79,,0,0,,0,MONTEPIO GERAL,0,0
0,,6,-9.13712,,2,NB90,0.0,0,0,2,0,0,,0,,2,Avenidas Novas,0,66,8,0,0,0,0,0,,,38.74072,0,0,,,0,0,0,0,,,0,0,0,,623.37,0,0,"Praca Londres 2 B, Lisbon",,0,0,28,,0,,,40,,4,1,14.00,0,1000,2453.21,,0,0,,0,NOVO BANCO,0,0
0,,3,-9.16125,,1,ST04,1.11713248177e-221,0,0,12,0,0,,0,,2,Campolide,0,38,23,0,0,0,0,0,,,38.73258,0,0,,,0,0,0,0,,,500,0,0,,226.09,0,0,"Travessa Estevao Pinto S/N, Lisbon",,1,0,9,,0,,,34,,2,3,0.00,0,1000,997.59,,0,0,,0,BANCO SANTANDER TOTTA,0,0
1,1,5,-9.17039,0,2,BPI89,1.0,0,0,6,1,1,0,1,010101,3,Lumiar,2,52,7,0,0,0,1,0,0,10,38.75606,1,1,30-Nov-2011 12:00,2,2,0,0,0,,06-Nov-2011 10:00,0,0,0,,875.52,0,0,"Rua Tomas Da Fonseca TR C, Lisbon",7400,1,0,9,20-Oct-2011 16:30,0,1,1,42,7400,2,2,8.06,0,1000,228.67,0101,0,0,2011,0,BANCO BPI S.A.,2,0
0,,5,-9.09822,,1,BPI52,3.57075906205e-283,0,0,8,0,0,,0,,2,Parque das Na,0,50,13,0,0,0,0,0,,,38.76605,0,0,,,0,0,0,0,,,500,0,0,,981.19,0,0,"Avenida Dom Joao Ii LT 1.05.02, Lisbon",,1,0,47,,0,,,36,,5,2,0.13,0,1000,2293.13,,0,0,,0,BANCO BPI S.A.,0,0
0,,4,-9.14052,,2,BPI72,0.0,0,0,9,0,0,,0,,3,Santa Maria Maior,0,46,22,0,0,0,0,0,,,38.71485,0,0,,,0,0,0,0,,,500,0,0,,38.93,0,0,"Praca Dom Joao Da Camara 18, Lisbon",,1,0,47,,0,,,45,,5,2,9.84,0,1000,2962.81,,0,0,,0,BANCO BPI S.A.,0,0
0,,5,-9.147,,1,BPI21,0.0,0,0,8,0,0,,0,,4,Avenidas Novas,0,50,22,0,0,0,0,0,,,38.73069,0,0,,,0,0,0,0,,,0,0,0,,240.37,0,0,"Avenida Fontes Pereira De Melo 33, Lisbon",,1,0,56,,0,,,55,,5,2,4.52,0,1000,2162.12,,0,0,,0,BANCO BPI S.A.,0,0
0,,6,-9.18017,,1,CP14,1.0,0,0,7,0,0,,0,,1,Carnide,0,60,11,0,0,0,0,0,,,38.75002,0,0,,,0,0,0,0,,,0,0,0,,851.82,0,0,"Avenida Lusiada, Lisbon",,1,0,18,,0,,,30,,2,2,4.04,0,0,676.24,,0,0,,0,BANCO COMERCIAL PORTUGUES,0,0
